 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Regime: Privado
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;2;139;237;264;701;2271;5947;5569;6482;6960;6718;6228;6188;5953;6081;5661;5478;5301;4512;5133;6531;5319;6446;5933;6235;6394;6249;6379;6374;5981;6017;5459;6941;6129;6445;5621;5940;6110;5863;5589;5678;5553;5367;5432;6027;5787;6081;5800;5780;6157;6003;5834;5790;4836;5440;5318;6356;5600;5946;5478;6192;6080;4699;5645;5411;4902;5567;4875;6120;6409;6210;5527;6088;5923;5604;5913;5029;4821;5093;4997;5062;5373;5655;4823;5065;4202;4404;4966;4544;4146;4185;3789;5308;4909;5044;4905;4953;4773;4659;3497;527410
"25 Paraíba";-;-;-;-;-;-;-;62;173;633;1259;3541;8390;7732;8377;9043;9478;8431;8433;8231;8176;7802;7763;7259;7699;7077;8748;8436;8695;7743;8423;8370;7749;8215;8153;7450;7679;7164;8334;7852;8626;7340;8093;7976;7463;7557;7563;6749;7026;7077;7426;6836;7613;6750;6479;6940;6957;6707;6583;6348;6093;6078;7042;6589;7157;6358;6886;6630;5956;6038;6170;5525;5847;5285;6291;6341;6634;5974;6155;5709;5326;5575;5097;4833;5111;4675;5232;5149;5468;4947;5163;5138;5196;5191;4733;4353;4587;4186;5325;5021;5162;4591;4960;4803;4345;2736;628340
"26 Pernambuco";2;1;-;-;-;1;1;53;408;1024;2491;8892;19540;15391;17670;19563;18844;16709;18405;18387;18494;17616;16731;15914;17917;14563;19453;17204;18199;17262;18029;18137;17625;17880;17288;15731;16726;14475;18920;17252;18751;16264;17072;17372;16594;17276;16911;15719;16434;16459;16478;15916;17279;16237;16263;18328;16681;16834;16231;14692;15656;13966;17580;15923;17640;15867;16734;17168;15216;15940;15403;13845;15893;13737;15533;16488;17012;15525;16300;16429;15668;16823;14958;14020;15489;14878;15412;15681;16716;15231;16596;16553;16497;16398;15792;14230;14589;13396;16951;15785;16420;14906;15623;14532;12257;6720;1546565
"27 Alagoas";-;-;-;-;-;-;4;158;230;798;1171;2330;9554;8732;9562;11185;11186;10728;9756;9470;9919;9641;9457;8856;9055;7807;10571;9807;9916;9064;9819;9364;9686;10290;9963;9252;9382;8541;11598;10903;11364;9883;10123;10764;10307;10058;9937;9041;9112;9791;10533;9974;10754;10184;9753;10352;9810;9790;9322;8583;9240;8639;9337;8181;9003;8658;9310;8978;8850;8973;8627;8117;8836;7727;9198;9368;9876;9467;10178;9180;9142;9528;8868;7901;8300;8087;8698;9018;9532;8897;9706;9551;9744;9652;9245;8480;8560;7675;10142;9192;9715;9065;9640;8439;7831;4788;886329
"28 Sergipe";-;1;-;1;-;-;-;15;41;142;633;2796;6237;5658;6617;7079;6797;6257;6481;6033;5776;5733;5445;4721;5170;4683;6095;5553;5848;5390;5671;5540;5553;5436;5104;4609;4911;4646;5979;5414;5643;4667;5112;5417;5543;5107;5364;4884;5258;4762;5433;5337;5971;5425;5130;5306;4810;5065;5405;4916;4989;4872;6542;6352;7357;6872;6909;7118;6384;7155;6379;5921;6397;5834;6828;7186;7015;6675;6908;7106;7255;7279;7042;6729;7318;6898;7149;6717;6188;5506;5285;5098;5465;5673;5640;4741;5221;4616;5908;5652;5636;4645;4900;4351;3831;2669;544831
"29 Bahia";1;-;-;-;-;-;1;26;114;492;1267;8297;35937;31736;38938;42269;38768;34303;38720;38069;37910;36640;33432;32591;34718;32630;42059;37656;37778;34589;36912;37214;37058;36165;35777;32774;33313;30620;39303;35862;37608;30871;33285;36649;34160;33509;33153;31023;33544;31721;34691;33213;34002;30416;30751;33275;30176;30532;30262;29108;30119;27840;33938;29716;32271;29465;32067;32113;29769;29930;27601;25365;27085;23669;27588;28422;28769;27440;28519;27870;27902;28902;27040;26004;28468;26932;27792;28674;30417;26082;29536;29348;29605;30251;27963;24910;26885;23757;31120;27660;29101;27026;29101;28043;25699;17411;2971073
"31 Minas Gerais";2;2;-;-;1;2;15;414;935;3795;9197;30170;66916;62454;69906;71444;69463;67189;67829;66565;68963;69983;64296;62979;65360;61508;72919;66765;68648;66495;69181;68158;68746;65497;64609;62268;65322;63411;75870;69473;71230;65689;67347;71115;69745;66010;65355;64691;66948;64697;70494;67531;72882;69221;68601;72525;68635;67484;67563;66032;66727;63728;73272;67716;73413;69057;71811;73263;67912;72047;64511;63427;67121;62589;71134;74397;73011;71142;72549;71254;70928;73743;68930;67657;72403;70119;73748;75989;79157;73130;74942;75026;75856;76101;72434;69487;70242;64979;80434;74997;76987;73869;72056;69199;64039;41534;6538612
"32 Espírito Santo";-;1;-;1;-;-;4;22;74;238;947;4126;9665;9180;11368;11423;10819;10329;10432;10701;10575;10834;9397;9308;9896;9083;11425;10702;10848;10565;10764;11096;10534;10118;10102;9605;9673;9013;11154;10279;10530;9848;10022;10588;10236;10315;10425;10434;10767;10409;11760;11103;11694;11122;10748;11562;10588;10775;10744;10539;10415;10406;11860;10994;11679;11103;11810;11796;10879;11963;10559;10190;10011;9026;10495;11234;10953;10393;10693;10562;10480;10841;10169;9426;10044;9894;10454;10745;11200;10495;11217;11303;11300;11345;10850;10335;10383;9363;11687;10509;11051;10797;11237;10434;8116;4395;993601
"33 Rio de Janeiro";1;1;-;1;1;-;7;202;339;1331;3197;8017;30579;24416;29427;28946;27998;27474;27621;26511;26067;26129;22486;21104;23650;20378;26553;24236;26096;24658;26132;23906;23677;24760;23922;22484;25108;21754;26746;25594;25982;23698;24009;25781;22884;23171;22576;21628;23052;21398;22331;23143;24347;22071;21211;22758;20890;20377;20111;18951;20213;17766;20738;19185;20898;20092;20444;20301;18074;19036;16206;15215;16809;14585;16963;17046;16814;16171;17382;15271;16154;15775;15095;14404;16205;14614;14719;15057;16363;15257;16109;15926;16164;15029;13836;13812;14124;12564;15866;14563;15761;15055;15109;13952;12818;8653;1914071
"35 São Paulo";3;1;-;-;-;3;19;444;455;2407;10270;37828;110005;95334;106961;107198;103755;104000;105315;102852;105737;106683;95776;90303;96458;91697;109463;100973;103934;100888;104543;104998;104668;102433;97877;90346;97694;92788;108973;99996;102905;97482;99490;105820;100353;96152;96561;92346;98885;96353;105093;100128;107193;98232;99774;104039;97616;98253;94159;90274;97748;93958;105562;97807;105664;96216;99370;100822;94136;100913;88957;83654;93193;86320;95667;102066;100243;96648;96362;97768;94835;98366;89476;84577;94137;90424;94691;95569;99452;93562;95869;96025;96721;97952;88299;84394;91117;84994;102780;96547;98190;94373;92847;89136;81345;57714;9190652
"41 Paraná";5;-;1;-;-;-;17;596;1191;3531;8072;23386;48068;44325;49511;49895;49977;49335;51743;48352;50023;50273;46128;43786;45720;44825;54891;50003;52013;51134;53797;52876;51384;51226;49990;46852;47901;47137;56964;50381;51791;49685;51115;52483;51430;49647;50220;47364;48595;46650;50849;47088;50680;46235;47173;50190;47101;48594;47984;44689;46142;44782;50144;46878;51285;47906;49542;50365;46063;49642;45026;41760;45205;41710;47251;49599;47278;47040;48839;47435;45748;47812;43784;40754;43602;42516;45512;45458;47724;44697;47520;46202;47100;48431;43686;41401;41371;40490;49313;46371;46239;46988;48431;45551;39085;24894;4499444
"42 Santa Catarina";-;1;-;-;-;1;111;733;738;2043;4139;10074;21530;21120;23112;22953;22859;23308;23745;22364;23436;23886;21634;21522;22556;21160;25254;23368;24560;24730;25625;26293;24491;24364;24251;22247;22854;22224;26147;23797;24673;24392;24618;26138;24329;24398;24186;22624;24027;23421;26143;24857;26445;24992;25435;26164;24598;25144;24018;22464;24033;23855;26555;24767;27811;25572;25564;27024;25075;26825;24572;21586;23971;22072;25170;26248;25793;25455;26378;25474;24990;26728;24566;21666;23728;22996;24563;24703;25931;25711;26541;25829;25934;26378;24522;22430;22948;22581;27143;25092;26718;26329;27439;25294;22780;14939;2308575
"43 Rio Grande do Sul";-;-;-;-;-;4;11;152;912;4012;7970;19748;43899;40329;46056;44836;44023;45046;47838;45395;46130;45930;43212;40670;43588;38540;46760;43953;45538;45215;49489;46152;44777;46264;44835;42847;43793;40049;48303;44838;46109;44699;46732;47641;44675;45022;43516;40804;45735;41426;46274;43671;46966;46050;45808;46549;43208;43881;43404;41491;45715;41012;47451;44166;48451;46596;48861;48562;42939;46696;42756;38843;45153;39048;44820;47338;46542;47079;51060;48545;47397;50408;45964;43060;47806;43988;47359;47257;49721;47883;51680;50576;50098;52043;47842;44604;47317;42197;52847;49302;49958;49469;49486;45305;38798;21694;4300467
"50 Mato Grosso do Sul";-;-;-;-;-;-;9;94;213;518;1071;3822;8120;7898;8945;8968;8365;8552;8741;8101;8491;8476;7921;7194;7610;7406;10011;9208;8654;8410;9343;9736;9273;9169;9333;8530;9031;8796;10966;9318;9115;8712;8551;9655;9271;8892;8800;8444;8852;8407;9247;8801;9211;8558;8718;8494;8399;8349;8592;8284;8695;8410;9496;8702;9057;8156;8242;8440;7961;8286;7844;7203;8163;7653;8768;8738;8747;8271;8876;8565;8763;8832;8433;8018;8232;7860;8912;8924;9298;8736;8975;9161;8538;8836;7852;7760;7839;7448;9212;8640;8698;8653;8550;7792;6555;3681;808116
"51 Mato Grosso";1;-;-;-;-;-;4;70;149;425;1067;4644;7966;7538;8911;8257;8638;8265;8231;7814;8237;8127;7478;7132;7729;7030;9099;8679;8305;7629;7486;8071;7466;7361;7751;7327;8013;7342;8867;8135;8282;7639;7912;8579;8364;7786;7835;7837;7847;7408;8404;8116;7750;7582;7515;8209;7898;8083;8296;8018;8365;8333;9408;8905;9587;8705;9267;9014;8702;9299;8403;8008;8587;7992;9197;9102;8716;8177;8117;8484;8258;8808;8283;7849;8200;7900;9105;8682;9145;8851;8863;8576;8777;9074;8553;8047;8078;7654;9192;8731;8771;7640;7422;7037;6417;3289;774174
"52 Goiás";2;-;-;-;-;-;4;114;353;971;1934;9154;19084;16979;19657;19609;17141;15730;16786;18223;18921;17760;15787;15400;16525;15363;19118;18076;17990;16614;17107;18801;18164;17319;17730;16586;18344;17121;19567;17899;17977;17013;16712;18815;18675;16899;16900;15969;16600;15930;18977;16886;16734;15487;15714;17069;16534;16070;15804;14204;15563;15498;16960;15749;15264;14360;14117;16598;15739;15611;13986;13555;15279;15203;16700;16897;15967;15301;14927;16250;16214;16137;15482;14352;15623;14454;15416;16287;16609;15089;14960;15787;16160;15884;14769;14367;15108;14436;17430;16171;16552;14994;14280;14330;12950;9169;1543436
"53 Distrito Federal";-;-;1;-;-;-;-;3;-;13;53;227;853;831;831;861;938;932;857;930;901;1027;981;854;998;887;990;875;992;925;969;1014;919;1012;886;684;916;884;1034;870;979;971;915;1062;978;960;991;744;957;852;870;899;1015;903;914;1014;899;933;926;744;958;868;992;874;1011;977;1495;1518;942;1036;879;724;946;915;945;1072;1052;1081;1184;1134;1228;1258;1152;943;1203;1104;1096;1106;1182;1180;1125;1110;1167;1103;1127;969;1101;866;1292;1186;1194;1264;1181;1159;1048;569;93990
"Total";19;11;2;3;3;11;215;3941;7534;25989;64666;206756;514880;463764;524635;535443;520106;504528;519223;505264;517065;513497;471050;450314;479019;444788;547313;504599;516978;498063;521142;517652;507743;503284;491754;459957;484758;456514;549726;503223;519883;482750;494388;522769;498738;484556;481637;458857;486801;468327;511945;485344;514603;479842;478138;505755;474909;476704;469336;445227;470689;445020;510928;472350;509644;471584;489744;498639;460112;486936;443743;413995;454451;413902;469657;491597;483080;464952;478751;471910;465453;482986;447103;422424;460214;438921;465316;471339;492007;457346;478445;473339;478073;482928;447694;421392;437263;405115;502153;468644;478874;460041;461957;437700;391135;252635;45158122
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
