 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 101-5 Órgão Público do Poder Executivo Federal, 102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal, 103-1 Órgão Público do Poder Executivo Municipal, 104-0 Órgão Público do Poder Legislativo Federal, 105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal, 106-6 Órgão Público do Poder Legislativo Municipal, 107-4 Órgão Público do Poder Judiciário Federal, 108-2 Órgão Público do Poder Judiciário Estadual, 110-4 Autarquia Federal, 111-2 Autarquia Estadual ou do Distrito Federal, 112-0 Autarquia Municipal, 113-9 Fundação Pública de Direito Público Federal, 114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal, 115-5 Fundação Pública de Direito Público Municipal, 116-3 Órgão Público Autônomo Federal, 117-1 Órgão Público Autônomo Estadual ou do Distrito Federal, 118-0 Órgão Público Autônomo Municipal, 119-8 Comissão Polinacional, 120-1 Fundo Público, 121-0 Consórcio Público de Direito Público (Associação Pública), 122-8 Consórcio Público de Direito Privado, 123-6 Estado ou Distrito Federal, 124-4 Município, 125-2 Fundação Pública de Direito Privado Federal, 126-0 Fundação Pública de Direito Privado Estadual ou do Distrito Federal, 127-9 Fundação Pública de Direito Privado Municipal
Esfera jurídica: Administração Pública Federal, Administração Pública Estadual ou Distrito Federal, Administração Pública Municipal, Administração Pública - Outros, Empresa Pública ou Sociedade de Economia Mista
Período:Jan/2008-Set/2021
"Unidade da Federação";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;1;1;7;27;336;2042;4663;8048;8450;8057;7390;7470;6969;6441;7093;6971;8734;9020;9231;8646;8564;7945;8131;8348;7650;7396;7733;7555;8393;8706;9016;8356;8461;8954;8962;8448;8168;8120;7927;7418;8977;9268;9208;8944;9276;8835;8558;8687;7991;7493;8024;8213;9453;8898;9011;9116;8806;8751;8150;7971;7783;7633;8174;7913;9652;9061;9740;9191;8582;9436;8224;8398;8150;8116;8441;8059;9547;9902;10052;9523;10004;9783;9344;9592;8905;8862;9130;8542;9621;10151;10608;9426;9809;9683;9587;9752;9122;8806;8904;8906;8834;7246;7115;8436;8827;8714;8916;8913;8858;8986;8664;8854;10551;10354;10787;9948;8970;6790;3238;974593
"25 Paraíba";-;-;-;-;-;-;-;1;3;66;657;1293;4331;9650;10105;10227;9651;9707;9218;8516;9636;9315;10976;11332;11899;11166;11265;11171;10765;10966;10242;9781;10480;10050;11078;11162;11772;10836;11510;11416;11673;11527;10766;10077;9933;8824;11052;11034;11052;10417;10742;10707;10449;10593;10300;9501;9757;9962;10915;10488;10924;10111;10534;11026;10385;10143;9821;9371;9616;9187;11461;11173;12223;10773;10677;11444;10851;11406;10850;9838;10577;9802;11759;11720;11956;11187;11647;11822;11309;11523;10733;10471;10627;10189;11956;12357;12916;11697;12246;11840;11570;11903;11073;10443;10779;10261;10279;8129;8770;9128;9579;9234;9127;8637;9259;10312;10204;10006;11517;11443;12855;11867;10117;8162;6000;1190814
"26 Pernambuco";-;-;-;-;-;-;1;-;31;187;1328;4220;15021;25898;27586;28706;27347;27872;26386;25319;27848;25162;28572;29326;30949;28627;28797;29678;29260;29899;28049;26877;27993;26310;29201;29814;30786;28889;30670;30793;30459;30535;28708;28321;28513;26578;31819;30623;31896;29931;30598;30265;28564;28861;28503;27407;28276;28400;31150;29626;30935;30114;30417;31959;29691;29441;27857;27460;29991;27919;33809;32506;34821;33385;33032;34531;31290;32690;30988;30240;31567;28902;32759;33982;34496;33048;32772;34133;31661;33855;30958;31049;32071;30693;33176;34350;36218;33361;34835;35045;34009;34941;33072;31205;33757;30903;30315;25094;28031;28753;31039;31152;30651;31289;29950;29776;30134;29273;34284;34502;37125;33722;30650;27253;20246;3429568
"27 Alagoas";-;-;-;-;-;-;-;-;11;79;383;827;2807;4984;5193;4921;4828;4429;4467;4415;4657;4052;4933;5092;5435;5145;5143;4904;4795;4743;4466;4398;4420;4030;4279;4143;4618;4357;4459;4385;4433;4495;4127;4017;3740;3547;4458;4681;5023;4863;4902;4927;4667;4806;4599;4558;4832;4499;5148;5156;5286;5023;5138;5269;4790;4707;3917;3569;4698;4184;5241;4908;5588;5106;5294;5456;5009;5046;4435;4520;4751;4297;4651;5203;5425;4714;4786;5115;4843;4790;4242;4374;4718;4502;4857;4658;5264;4832;4989;5378;5066;5205;4651;4406;4641;4465;4289;3522;3801;4043;4169;3938;4587;5250;5117;5086;5439;5462;6517;6187;6319;5996;5430;4630;2337;535402
"28 Sergipe";-;-;-;-;-;-;-;-;-;15;57;97;214;168;173;287;284;285;261;205;231;282;342;318;206;195;159;186;188;140;158;98;161;216;283;672;1586;1475;1666;2194;2395;2060;1872;1861;2027;2326;2596;2520;3212;2947;3153;3606;3623;3855;3583;2948;3259;3332;3766;3824;3963;3932;4041;3416;3970;3674;3375;3238;3352;3508;3979;3840;4112;3827;3950;3855;3377;3665;3460;3294;3410;3150;3665;3724;3877;3541;3543;3500;3403;3246;3332;3228;3373;3163;3590;3679;3965;3369;3441;3347;3602;3584;3352;3474;3440;3220;3538;2954;2927;3468;3704;3466;3543;3474;3263;3206;3299;3190;4110;4061;4343;3555;1489;831;174;294208
"29 Bahia";-;-;-;-;1;1;3;16;192;551;2967;7125;19920;37445;40570;40486;38453;38156;35688;33131;37467;35385;40997;40877;41709;39805;41413;41210;40506;41772;38354;36244;39047;36282;40547;40289;42395;39185;42364;42710;42714;43037;38779;37634;39349;35988;44111;41402;42964;40735;43197;41913;41744;41046;39967;38042;39220;40324;44834;42361;42846;40295;42001;42870;39571;38192;35299;33741;39187;35872;43065;40220;44752;41535;42307;42902;40196;41357;39327;38060;41468;36964;43428;44167;45249;42299;45560;45628;44179;45459;41886;41825;43868;42389;45550;47928;50805;45439;49020;47785;46151;47621;43784;40995;44533;42639;42509;34158;35766;36636;39555;39908;40812;42489;39832;38750;39870;38721;44098;43720;47932;44015;39671;30322;15051;4606653
"31 Minas Gerais";-;1;-;-;1;-;4;21;78;436;4046;7747;18547;26178;27212;27704;26815;27909;24709;23824;25576;23182;27200;28641;28381;27470;28332;28210;28228;28371;26192;25693;27796;26211;27945;28773;29259;27478;28773;28666;28715;28659;26763;26274;26063;24672;30003;28621;29215;27843;28643;28028;27107;27588;26584;25896;26057;26257;29414;28598;28924;28247;27961;28770;28061;26690;24674;25370;27092;25706;30475;28138;32116;30037;30325;30680;29244;28677;27178;26034;28057;25506;29317;29468;29813;28794;29090;30216;28247;29797;28301;27739;28883;27439;29927;31447;32421;29368;30874;29858;29475;30262;28607;28229;29183;27432;26734;22229;24529;25171;27576;27541;27422;28544;27933;28135;28917;26962;33513;31038;32822;29674;24371;19956;9624;3141449
"32 Espírito Santo";-;-;-;-;-;-;-;-;1;2;148;716;2363;3790;4643;5022;5275;5659;6096;6489;6609;6297;7449;7289;7255;6698;7337;7496;7362;8106;7270;7060;7902;7386;7669;7763;8063;7529;7913;8202;8109;7833;7636;7763;8068;7526;9342;8456;9010;9014;9387;9027;8411;8557;8371;8222;8379;8132;9314;8763;9502;8702;9147;9335;8954;8980;8633;8933;8853;8299;9925;9306;9840;9436;9127;9852;9426;9762;9566;8907;9758;8659;9862;9721;10218;9081;9704;9952;9242;9462;9059;9082;9111;8912;9554;9259;10098;9228;10103;10011;10143;10495;9239;9414;9891;9332;8784;6684;7233;7324;7951;7405;7649;7873;8328;8605;8679;7883;9933;9086;9601;9245;8930;8039;3419;943905
"33 Rio de Janeiro";-;-;2;2;3;4;21;60;430;1170;5714;10551;23076;33387;32130;32230;31435;33389;29686;29621;34616;30481;35162;36475;37309;36506;36649;37856;36427;36645;33268;31554;36779;32860;35847;35482;37976;37010;39995;40936;40720;40380;38095;38219;41186;37580;44404;41604;44720;43448;43862;42303;41442;41728;40403;38291;41425;39049;44110;41662;42063;41333;41684;40266;39293;38539;37222;36244;40693;37599;44405;42090;47018;44995;46009;46157;41853;44271;42089;41929;46481;40900;47954;48101;48525;47905;48092;49429;45995;47407;44265;42325;47937;44335;47213;47931;50778;47837;50755;50716;49209;50305;46088;44075;47723;42681;42474;35903;39939;39736;43131;45654;45257;44267;44326;44609;47154;42730;53377;49713;51348;47469;45879;39927;23055;4694037
"35 São Paulo";1;-;-;-;3;1;4;22;108;424;2892;9613;45534;87732;90323;93349;87148;92140;82879;79838;87508;80932;93213;95697;91690;88378;89588;92708;89757;91810;84712;81601;89456;86551;93775;94879;97852;91491;92979;94427;94483;95512;88973;86138;92016;86022;102558;96281;98426;94774;93675;96384;94154;93714;93179;90074;94390;93425;107113;103435;109083;108601;106442;110167;104453;105485;100725;97792;101916;97055;114797;103296;112774;107714;108342;112744;105373;108319;102489;99407;107268;99745;114401;113056;113990;108889;109295;114261;106986;112621;101959;95635;102685;97934;105085;108272;113101;104320;106722;109549;106922;111664;103281;98612;106382;100071;97715;72465;84020;87529;94961;96153;98170;100142;100070;95317;97839;93252;107452;93428;103371;99626;92156;87686;59332;11026105
"41 Paraná";-;-;-;-;-;-;-;4;8;175;2141;4235;11264;16210;16642;17234;15555;16895;15310;13912;15809;14622;16738;17575;16822;16247;17119;17972;17019;17590;16533;15111;16216;15547;16032;15988;17277;16225;17127;16856;16749;17166;16092;15244;15939;14639;17675;17129;17573;17226;17522;17748;17424;17038;16491;15950;17102;16793;19256;18378;18413;18440;18429;18372;17541;17145;15905;15838;17397;16894;20071;18334;20150;19045;19195;19854;18712;18504;17697;16667;18030;16706;19378;19747;19742;18593;19352;19427;18438;18835;18456;16726;18528;17914;19224;19661;20173;18651;19457;18640;18770;19030;18114;17122;18335;18384;17158;12918;13965;14655;15870;16109;16665;16879;17296;17051;17336;17372;19780;18388;20793;17891;13565;10722;5317;1946910
"42 Santa Catarina";-;-;-;-;-;-;-;2;14;109;1127;2985;7581;9217;9947;9564;8773;8920;7374;6873;9113;8225;9290;9700;9440;9374;9917;10293;9994;10685;9892;9349;10506;9807;10542;10487;10287;9802;10941;10756;10806;10760;10168;9312;10224;9310;10851;10597;11210;11158;11314;11127;11111;11020;10921;10082;11394;10870;12002;11406;11764;11863;11840;11787;11203;11035;10537;9663;10771;10075;11819;10920;12513;11965;12085;12508;11335;12012;11505;10566;11230;11014;12383;12445;12532;12239;12590;12122;11309;12150;11547;10730;12224;11672;12365;12749;13156;12000;13120;12512;12429;12687;11835;11410;12493;11367;10851;8902;9741;9526;10543;9972;10597;10916;10875;10290;10729;10177;10780;10249;11022;10837;10206;8197;3598;1216613
"43 Rio Grande do Sul";-;-;-;-;-;-;-;7;66;166;877;2060;5014;7362;7934;8194;7485;7832;7402;6901;7731;6908;7850;8059;7805;7666;8473;8263;7615;8267;7826;7460;8066;7228;8157;8060;8378;8090;8496;7797;7543;7564;7062;6964;7220;6628;8033;7680;7816;7465;7816;7845;7549;7553;7357;7112;7435;7237;7894;7781;7856;8041;7848;8262;7569;7788;7413;7226;7756;7083;8364;7510;8330;8306;8281;8269;7303;7419;7144;6989;7465;6737;7714;7944;7834;7934;8356;8509;7941;9331;8149;7702;7858;6777;7671;7772;8077;7784;8067;7756;7492;7369;7144;7228;7943;7345;7278;6332;7009;7408;7420;7243;7390;7816;8076;7634;7978;7467;8588;7612;7771;6699;6591;5532;2497;860046
"50 Mato Grosso do Sul";-;-;-;-;1;1;2;6;32;204;1651;2241;3957;4913;5050;5245;4818;4831;4408;4137;5002;4800;5523;5623;5562;5281;5211;4903;4974;5105;4737;4477;4816;4472;4856;4923;5199;4851;4850;4997;5053;5252;5079;4948;5048;4807;6040;5646;5734;5287;5009;5211;5152;5229;5162;4953;5424;5416;5971;5659;5769;5272;4855;5042;4779;4616;4647;4238;4754;4340;5438;4987;5463;5250;5205;5490;4897;5073;4984;4704;5119;4538;5356;5293;5474;5340;5535;5519;5341;5569;5256;5097;5297;5063;5760;6131;6504;5865;5593;5660;5505;5257;4576;4520;4915;4609;4450;2934;3274;3473;3593;3716;3861;4062;4065;3980;3947;4250;4705;4319;4765;4178;2894;2047;825;555572
"51 Mato Grosso";-;-;-;-;-;-;2;7;24;83;450;1326;4183;6278;6724;6917;6158;6493;5821;5922;6522;5777;6839;7201;6967;6594;6722;6736;6555;6746;6547;6087;6432;6250;6927;6893;7047;6627;6704;6957;6889;6971;6247;5934;6043;5830;7198;7087;7397;7396;8121;8308;7993;8109;8415;8082;8267;8358;9500;9176;9227;8976;8711;9333;9223;8947;8517;8236;8525;8024;9597;8925;9295;8927;8771;9214;8698;9027;8536;8190;8860;7981;9489;9604;9933;9342;9709;9762;9192;9455;8841;8771;9297;8844;9889;10271;10555;10084;10081;10307;10287;10515;9231;8281;9232;8576;8311;6138;6809;7416;8055;8079;7955;8164;7874;7796;8462;8268;10110;9754;9769;9205;7475;5739;3269;906775
"52 Goiás";-;-;-;-;-;-;1;2;10;46;646;1732;5765;11912;11774;12347;12234;12159;10470;9870;12695;12026;14402;14736;14236;13185;12961;13416;13351;13738;13008;12579;13228;12895;14179;14840;14655;13510;13347;13956;14562;14253;13072;13204;13690;13086;15111;15204;15198;14341;14209;14435;14481;14281;13631;13048;13753;13344;15661;14770;15247;14574;14266;14784;14403;13058;11844;11701;13581;13848;16583;15838;16326;14845;14589;16274;15289;16236;15269;15086;15898;15229;17330;17276;17257;16060;16337;16930;16549;16594;15816;15785;16702;16211;17712;19059;19446;17721;17769;18011;17815;18493;17279;17075;18252;17194;16653;13167;14125;14979;16468;16253;16438;16399;15160;15431;16467;16529;19661;18670;19399;17944;15686;11916;6751;1680782
"53 Distrito Federal";-;1;-;-;1;-;1;10;52;403;2695;5645;10594;14335;14031;14520;14238;15152;13250;13634;14430;13353;15502;16166;15431;14498;14850;14904;14335;14646;12799;12954;13528;13449;14889;14878;15026;13683;14272;13839;13736;13749;12811;12127;12278;11711;14181;14654;14319;13002;12795;12739;12509;11707;12009;12457;13030;13005;14688;14350;14795;14790;14736;15845;14994;14731;13850;14635;15330;14738;18064;15830;14119;15843;14602;15775;14959;15559;12997;13163;14550;12744;15057;14447;14509;13617;13780;14187;14345;14206;14399;14332;15025;14953;16668;17047;16836;15251;16065;16754;16478;16712;14704;14384;15016;14885;15239;13579;14243;14015;14037;13469;13150;13405;12441;13003;13980;13510;15747;14237;15024;14152;13317;12116;8504;1615325
