 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 203-8 Sociedade de Economia Mista, 204-6 Sociedade Anônima Aberta, 205-4 Sociedade Anônima Fechada, 206-2 Sociedade Empresária Limitada, 207-0 Sociedade Empresária em Nome Coletivo, 208-9 Sociedade Empresária em Comandita Simples, 209-7 Sociedade Empresária em Comandita por Ações, 212-7 Sociedade em Conta de Participação, 213-5 Empresário (Individual), 214-3 Cooperativa, 215-1 Consórcio de Sociedades, 216-0 Grupo de Sociedades, 217-8 Estabelecimento, no Brasil, de Sociedade Estrangeira, 219-4 Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira, 221-6 Empresa Domiciliada no Exterior, 222-4 Clube/Fundo de Investimento, 223-2 Sociedade Simples Pura, 224-0 Sociedade Simples Limitada, 225-9 Sociedade Simples em Nome Coletivo, 226-7 Sociedade Simples em Comandita Simples, 227-5 Empresa Binacional, 228-3 Consórcio de Empregadores, 229-1 Consórcio Simples, 230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária), 231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples), 232-1 Sociedade Unipessoal de Advogados, 233-0 Cooperativas de Consumo, 303-4 Serviço Notarial e Registral (Cartório), 306-9 Fundação Privada, 307-7 Serviço Social Autônomo, 308-5 Condomínio Edilício, 310-7 Comissão de Conciliação Prévia, 311-5 Entidade de Mediação e Arbitragem, 313-1 Entidade Sindical, 320-4 Estabelecimento, no Brasil, de Fundação ou Associação Estrangeiras, 321-2 Fundação ou Associação Domiciliada no Exterior, 322-0 Organização Religiosa, 323-9 Comunidade Indígena, 324-7 Fundo Privado, 325-5 Órgão de Direção Nacional de Partido Político, 326-3 Órgão de Direção Regional de Partido Político, 327-1 Órgão de Direção Local de Partido Político, 328-0 Comitê Financeiro de Partido Político, 329-8 Frente Plebiscitária ou Referendária, 330-6 Organização Social (OS), 331-0 Demais Condomínios, 399-9 Associação Privada, 401-4 Empresa Individual Imobiliária, 402-2 Segurado Especial, 408-1 Contribuinte individual, 409-0 Candidato a Cargo Político Eletivo, 411-1 Leiloeiro, 412-4 Produtor Rural (Pessoa Física), 501-0 Organização Internacional, 502-9 Representação Diplomática Estrangeira, 503-7 Outras Instituições Extraterritoriais, Não especificado ou ignorado
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";-;1;-;-;-;1;5;272;468;975;2368;6204;12773;12423;14359;15815;15456;14013;13694;13254;13401;12600;12100;11609;11039;11379;13923;12981;15287;14056;14786;14843;14881;15180;14731;13700;13954;13060;16251;15027;15722;13979;14492;14757;14169;13812;13837;13310;13412;13922;15385;14640;15025;14241;14373;14860;14023;13936;13717;12403;13021;12986;15039;11676;9670;5690;6333;6208;4729;5654;5411;4902;5567;4875;6120;6409;6210;5527;6088;5923;5604;5913;5029;4821;5093;4997;5062;5373;5655;4823;5065;4202;4404;4966;4544;4146;4185;3789;5308;4909;5044;4906;5037;4944;4903;4779;4540;4473;4453;4842;5250;4864;5032;4650;4663;4101;3469;4623;4517;4495;4391;4269;5437;4753;5372;4931;4927;5246;4973;5080;4910;4788;5203;4757;5866;5479;5888;5091;5384;5694;5167;5427;5304;4957;5427;5266;5379;5724;5987;5635;5942;6170;5936;5821;5220;5062;5472;5180;5364;3476;3697;3776;4471;4787;5190;5471;5166;5283;4670;4701;5397;5131;5333;5004;4142;2799;1385;1307153
"25 Paraíba";2;-;-;-;-;-;2;107;273;1071;2328;7190;18485;17603;19815;20801;21183;18775;19028;18765;18602;17371;16705;16177;17425;16647;21219;20330;21294;18773;20223;20252;19790;20040;19787;18436;18987;17666;20708;19702;21480;18716;20536;20305;19346;19307;18461;16706;18020;18316;20016;17642;18251;17233;16901;18036;17281;17136;16932;16208;16195;15881;17560;15907;13755;6392;6912;6634;5966;6047;6175;5529;5897;5325;6352;6398;6708;6014;6204;5763;5369;5611;5127;4869;5157;4715;5260;5171;5494;4977;5183;5153;5196;5192;4739;4359;4593;4188;5325;5021;5162;4591;4965;4914;4915;4697;4366;3935;4300;4344;4998;4796;4870;4449;4207;4138;4039;3996;3752;3575;4232;3721;4603;3989;4371;3860;3917;4250;3906;3808;3538;3511;3687;3271;3723;3788;4006;3734;3669;3787;3397;3503;3358;3023;3323;3317;3425;3737;3615;3008;3481;3459;3322;3304;3121;2880;3140;2876;2893;2431;2551;2590;2819;2867;2798;3007;2810;2688;2778;2641;3183;3012;3220;2926;2699;2373;1643;1462302
"26 Pernambuco";6;7;-;1;-;2;15;268;979;3114;7446;23334;40916;36866;41469;45686;44966;40443;42719;42221;41135;40687;38112;35984;39522;34895;45564;42262;44143;40908;42056;42965;42159;42701;41205;38658;40462;36900;46020;43193;47255;42126;43597;44786;43291;43723;43154;41392;42371;41933;46617;44437;46261;43332;43160;46440;43321;44263;43249;41539;41663;39654;46061;40424;32930;17933;17822;18162;15972;15955;15403;13850;15901;13753;15536;16488;17012;15525;16300;16429;15668;16823;14958;14020;15489;14878;15412;15681;16716;15231;16596;16553;16497;16398;15792;14230;14589;13397;16951;15785;16421;14916;15730;15332;14469;14624;14366;13426;13778;13317;15256;14782;15261;14743;14673;15175;14219;14006;13525;12397;13269;12060;15068;13574;15313;14197;14219;15419;13833;14686;14060;13160;14236;12314;14647;15078;15610;14230;14226;15705;13920;15016;13964;12568;14572;13842;14161;15179;16437;14195;15581;15619;15567;16083;14814;13144;14119;12415;11320;6768;7264;7978;9116;10043;10575;10975;10510;10033;10505;10461;11471;11339;12211;11620;11452;11529;6928;3849287
"27 Alagoas";-;-;-;-;-;-;5;195;275;907;1720;4463;14837;13445;14959;17517;17140;16056;14778;14650;14639;14274;13859;13382;14142;12553;16373;15566;15761;14411;15377;14546;14762;15466;14934;13765;14258;13072;17045;16214;16950;14394;15269;15771;15236;14841;14631;13296;13702;14193;15711;14862;16345;15458;14890;15677;14870;14897;14029;13034;13742;13386;14302;12577;11673;8725;9310;8978;8850;8973;8627;8117;8836;7727;9198;9368;9876;9467;10178;9180;9142;9528;8868;7901;8300;8087;8698;9018;9532;8897;9706;9551;9744;9652;9245;8480;8561;7676;10142;9192;9715;9083;9742;9055;9086;9336;8993;8240;8232;8046;9499;9332;9754;9348;9935;10057;9383;8960;8797;8419;8893;8062;9742;9023;10136;9842;9679;10168;9206;9830;9591;8869;9268;8277;10201;10164;10266;9517;10136;10231;9409;10393;9398;8406;9150;8778;9064;9999;10346;9052;10524;10097;9553;10128;9335;8352;8669;8113;8314;6494;6159;6129;6983;7306;7805;8529;8432;7784;7682;7266;8098;7530;7772;6825;6490;5941;4142;1782972
"28 Sergipe";-;1;-;1;-;-;2;18;58;192;866;3946;8731;8119;9162;9738;9324;8590;8695;8209;7787;7743;7160;6609;7333;6962;8932;8149;8665;7651;8039;7962;7826;7772;7106;6563;7143;6678;8727;8324;8722;7280;7859;7971;7963;7630;7861;7366;7828;7001;7796;7774;8530;7699;7561;7944;7407;7703;7971;7417;7616;7297;8175;7605;8177;7195;7241;7335;6699;7517;6732;6267;6851;6253;7403;7768;7575;7206;7312;7330;7255;7279;7042;6729;7318;6898;7149;6717;6188;5506;5285;5098;5465;5673;5640;4741;5221;4617;5908;5652;5636;4645;4922;4666;4472;4289;3860;3601;3788;3598;4296;4219;4377;4029;3994;4075;3867;3726;3590;3365;3671;3228;4034;4012;4576;3751;3923;4031;3797;3795;3273;3210;3799;3190;4130;3889;4179;4005;4095;4173;3722;3713;3653;3369;3672;3544;3875;4235;4339;3902;3879;3860;3761;4055;3796;3601;3811;3823;3852;2840;2895;2715;2908;2917;3051;3462;3511;3475;3670;3609;3939;3608;3896;3435;3200;2714;1597;940681
"29 Bahia";3;6;-;-;-;1;5;54;312;1087;3263;17588;66223;60453;74394;80024;75255;68707;75935;75125;74477;71007;64074;61401;67406;63548;80844;75632;76236;70351;74747;76067;75260;73881;73220;68417;71380;66548;81882;77278;81262;68596;72476;77454;74034;73828;72850;68990;74584;69851;78163;75249;76744;71041;71511;76614;70908;72355;71315;69401;71284;66034;75742;64616;56438;33495;34039;33439;30789;30492;28095;25673;27475;23844;27675;28422;28770;27479;29084;27875;27902;28902;27040;26004;28468;26932;27792;28674;30417;26082;29536;29348;29605;30251;27963;24911;26887;23758;31120;27661;29104;27070;29263;28908;28452;29166;27843;24849;25928;26752;30054;27171;27785;25257;26677;28863;27119;26430;25243;23174;24868;22186;27134;24326;28187;25128;27519;28431;25463;27275;26114;24533;26690;22560;26462;26824;27544;24467;26169;26536;24755;26544;25046;23062;23983;22592;23410;24839;27129;23499;25981;25463;24937;26467;24283;22084;23035;21744;21067;13814;13695;14374;15873;16907;18811;21360;20989;18062;17893;17852;18742;18082;20190;17943;18056;17149;10625;6673191
"31 Minas Gerais";4;4;-;-;2;4;32;538;1709;7306;16697;45750;92681;86508;96745;99252;96742;93733;95032;93469;95453;97086;89094;86945;90567;84890;100890;92884;95604;92286;95669;94976;95205;91499;89851;86588;91105;87825;104877;95596;98346;91795;94663;99193;97228;93079;91907;91365;94600;91208;99462;95537;102114;95620;94660;99679;95029;93911;93529;91891;95051;90291;99384;88914;85931;70742;73191;73631;68965;72522;65882;64896;68646;64021;72654;75889;74526;72140;72985;72385;70928;73743;68930;67657;72403;70119;73748;75989;79157;73130;74942;75026;75856;76101;72434;69487;70245;64980;80434;74996;76990;73900;72242;72033;72917;73439;70203;67516;68968;67984;77843;73079;75063;72856;70748;72377;68888;68902;65603;66563;68937;62756;74524;68260;75709;71370;71359;74521;69209;72155;70175;68599;72515;63875;75142;75247;75370;72730;75970;76307;71637;75913;71150;69122;73008;68659;73562;77289;80885;74441;78259;76270;75336;77453;72485;70962;74241;69209;68405;53558;58475;59255;62510;63026;64599;65843;65970;64174;64940;61134;69967;64593;70329;68104;65355;57994;36954;12950775
"32 Espírito Santo";1;1;-;1;-;-;7;39;187;979;2535;7722;14516;13848;16611;16654;15850;15480;15071;15659;15659;15998;14409;14133;14931;13878;17414;16350;16736;16038;16448;16863;16188;15575;15663;14946;14830;14003;17634;16464;16961;15656;16241;17355;16370;16686;16669;16581;17012;16649;18459;17686;18703;17937;17398;18382;17041;17286;17411;16981;17068;16552;18828;16508;15912;13714;13742;13374;12225;13146;11032;10190;10011;9026;10495;11234;10953;10393;10693;10562;10480;10841;10169;9426;10044;9894;10454;10745;11200;10495;11217;11303;11300;11345;10850;10335;10383;9363;11687;10509;11051;10807;11281;10900;10214;10554;10072;9842;10156;10144;11314;10948;11608;11094;10618;10971;10205;10496;10022;10169;10003;9104;11681;10556;11458;10613;10683;11534;10449;10913;10310;10077;10591;9536;11324;11412;11642;10610;10949;10338;9953;11201;10733;10145;10601;10545;11319;11527;11911;11111;11765;11604;11009;11473;10724;10617;10966;10603;10586;8259;8576;8432;9634;9596;9859;10289;10642;11506;11006;10631;12407;10535;12193;11350;10051;8817;5006;2073914
"33 Rio de Janeiro";6;4;1;1;4;3;26;400;808;3193;7479;17600;54995;47536;58293;59623;57523;55039;55119;54069;53630;53528;47397;45821;50676;45915;58210;53519;56570;55188;57360;54627;53774;53984;52910;50074;55513;49748;61193;57866;59851;55026;56306;58892;53559;53720;52949;51701;56747;53878;57348;58323;60871;56275;54033;56790;52075;50806;49130;47666;52581;47331;51726;42843;35463;20395;20824;20853;18485;19573;16749;15937;17743;15426;17928;18020;17800;17025;17916;15620;16458;16064;15385;14676;16543;14922;15027;15344;16696;15527;16430;16220;16438;15321;13951;13846;14131;12604;15926;14617;15825;15120;15228;14559;14337;13923;13481;12678;13183;12590;14668;13969;14317;13799;13394;12593;11931;11542;10630;10463;11237;9758;11619;10863;12788;12224;12352;12817;11928;12183;11763;11175;12396;10397;12854;12847;13138;12542;12883;12857;11909;13197;12145;11751;12789;12152;12603;13198;13360;11854;13309;12553;12379;12734;12108;11618;12141;11798;11776;9386;10067;10286;11588;11457;11583;12035;12120;11480;11994;10613;13483;12206;13047;12295;12298;11595;7429;4390722
"35 São Paulo";7;2;1;-;3;5;36;580;2303;7298;20861;68947;183408;167955;188153;188980;186439;186358;191029;188355;190610;192319;173541;164886;173447;167690;203675;190741;196039;191112;196803;199457;196880;194088;185544;173700;187231;179941;216682;198602;204531;192091;193427;205500;195081;191999;191212;183461;195391;190427;210100;197926;209372;193857;196668;205817;192474;194113;186203;178098;191737;185122;208596;186372;165601;105403;109756;111714;104100;112008;98566;92614;103612;95147;105737;112653;110362;106880;107014;108947;106389;110249;100507;94959;105978;101406;106227;107267;111528;104847;108147;108543;109258;110515;99802;95316;103203;95703;115406;108115;110234;106022;105220;104803;102688;101114;96463;91063;96652;94134;107491;100482;98647;96809;93362;96513;92092;92302;88038;84047;91775;87209;103000;93540;102857;95624;96687;100605;95126;98874;94236;88454;95531;86121;100021;98708;99433;96002;97837;100115;93827;101941;98535;96517;106123;98908;105263;109045;112152;103353;107196;106307;104592;108957;100003;95512;105567;97487;95089;72211;78683;81563;87130;87836;90250;94162;91911;89346;93250;88204;96931;89477;97822;93609;87284;83129;53882;21269747
"41 Paraná";5;-;1;-;1;3;26;646;1393;4396;9991;29317;60003;56290;63308;63368;63544;62477;65374;61044;63104;63403;57897;55192;58061;56829;69063;62912;65776;64057;67940;66828;65013;64946;63314;59262;61433;60456;73228;65405;67439;64959;66122;67807;66673;64601;65123;61705;64083;61257;66609;61681;66262;60615;61560;64990;61005;63302;62444;58454;60434;58984;65221;59241;57791;47915;49640;50528;46150;49741;45116;41798;45255;41761;47319;49699;47369;47138;48951;47547;45808;47889;43880;40973;44164;43222;46292;46265;48537;45495;48379;47072;47925;49293;44466;42131;42186;41242;50093;46850;46420;47158;48921;48373;46613;46919;46658;43600;45200;45019;51676;49079;50970;50851;49718;51206;48876;49536;47248;44583;46699;44559;53967;48361;54969;51356;52602;54569;51093;52939;52305;48669;52041;48048;56119;55824;55374;54423;56595;56677;52766;57207;53902;49941;53869;52019;55196;57203;59310;54000;58102;55711;54734;56864;53609;50449;53609;51846;50341;39510;41755;40834;40688;41208;43794;47552;47378;41413;43561;43496;44125;43801;46112;39952;37857;33131;16009;8770424
"42 Santa Catarina";-;1;-;-;-;1;113;766;842;2519;5870;14732;29970;29011;31710;31495;31708;32309;32942;30849;32316;32539;29345;29185;30670;28679;34217;31468;33148;33285;34571;35187;32950;33136;32068;29920;30970;29943;35207;32185;33375;32530;33192;34406;32474;32584;32042;30290;32379;31731;34864;33265;35299;33227;34076;34901;32607;33834;32561;30736;33103;31784;34526;30835;30123;25582;25564;27024;25075;26825;24572;21586;23971;22072;25170;26319;25988;25939;26896;26022;25550;27285;25073;22157;24312;23541;25120;25300;27236;26932;27774;27038;27107;27585;25605;23578;24117;23703;28392;26246;27969;27513;28826;28199;27672;27650;27269;24489;25908;25840;28697;27961;28743;29031;28110;29360;27762;28132;27015;24561;25444;24563;29498;26652;31030;29012;28830;29261;27305;28458;27766;26176;26393;24743;28774;29409;28765;29521;31857;30742;28790;30809;29286;26876;28661;26745;28790;30280;31993;29956;32785;30345;30578;32676;29976;27631;29598;28509;26811;19943;21184;23726;24319;23443;25053;27188;27574;25018;25498;25755;25782;23659;26297;25390;21829;17983;10751;4725220
"43 Rio Grande do Sul";-;-;-;-;-;4;19;251;1261;4907;10116;27817;58910;54736;61611;59890;59106;60888;64579;61252;61948;62243;58598;55442;59078;52109;63522;59407;61791;61262;66785;62365;60969;63003;60792;58292;59683;54080;64897;60314;62529;60718;63078;64043;59741;60225;58004;55019;59554;53992;61470;58049;62426;61120;61119;61506;57716;59073;58083;56079;60657;54426;60335;55088;56718;51487;54030;53616;47402;51491;47018;43054;49743;43062;49471;51958;51082;51645;55786;53119;51821;55327;50430;47189;52355;48050;51711;51473;54456;52367;56482;55399;55161;57204;52610;49505;52252;46626;58195;54175;54922;54682;55414;53515;51440;52103;51255;48470;50404;47455;53774;51757;54072;53680;53723;55539;51392;51850;49218;47911;50620;44754;56195;49658;56923;55274;55097;55612;50238;52792;50646;47252;50408;42322;48822;49410;48360;47583;51229;50341;44926;48177;44648;41354;46901;42906;46475;48708;51651;49937;52546;51312;48371;50307;46856;44491;48332;43281;42393;33129;37215;38504;39214;39782;40924;43415;43809;41589;43318;40700;44878;41418;45899;44539;41356;35245;16543;8680608
"50 Mato Grosso do Sul";-;-;-;-;-;-;12;162;421;954;2198;6232;12254;12062;13397;13124;12990;13383;13603;12686;13317;13340;12329;11137;11884;11519;14521;13453;13163;12981;13726;14409;13626;13226;13429;12494;13342;13084;16236;13851;13625;13129;13006;14588;14086;13251;12945;12268;13317;12779;14153;13631;14134;13112;13269;13007;12672;12520;12790;12205;12816;12633;12693;10949;10537;8369;8242;8440;7961;8286;7844;7203;8163;7653;8768;8738;8747;8271;8876;8565;8763;8832;8433;8018;8232;7860;8912;8924;9298;8736;8975;9161;8538;8836;7852;7760;7839;7448;9212;8641;8699;8667;8639;8568;8273;8145;7761;7679;7883;7843;8503;8387;8797;8543;7979;8193;8395;7991;7445;7312;7666;7134;8749;8005;8926;7876;8030;7945;7672;7745;7548;7295;7696;6951;8293;8271;8144;7691;8175;8220;7766;8042;7970;7204;7838;7686;8193;8506;8814;8176;8297;8242;8200;8319;8149;7778;8707;8497;8467;6534;6838;6844;7312;7310;7542;7777;7547;7488;7591;7708;8574;7959;8823;7940;7579;5556;2005;1602568
"51 Mato Grosso";3;2;-;-;-;1;6;102;320;977;2085;7975;13961;13522;16016;15480;15568;15085;15150;14483;14952;14449;13244;12567;13878;12784;16552;15968;15873;14763;14775;15580;14671;14052;14747;13942;15115;13939;16803;15284;15543;14217;14731;15573;15406;14688;14465;14399;14846;13597;15193;14825;14675;14256;13854;15041;14627;14533;14657;14241;14435;13858;15720;14274;12108;8848;9250;8988;8674;9281;8383;7995;8570;7977;9199;9188;8831;8355;8323;8744;8361;8926;8448;8094;8476;8163;9319;8911;9354;9060;9086;8790;8971;9282;8737;8224;8304;7915;9527;9111;9163;7914;7526;7757;7805;7555;7146;6823;6890;6861;7920;7514;7918;7303;6942;7382;7002;6932;5888;6129;6620;6648;7791;7312;7662;7364;7378;7165;7108;6846;6264;6127;6565;6326;7656;7221;7088;6694;6718;6546;6423;7106;6298;5676;6445;6210;6712;6665;7051;6256;6770;6490;6410;6685;6460;6219;6723;6363;6782;5563;6000;5493;5615;5848;6308;6431;6386;5983;6190;5866;6690;5998;6590;6447;6078;5781;3428;1610009
"52 Goiás";3;3;-;-;-;3;7;298;812;1988;4158;15850;31520;28761;33751;34080;29786;28488;28751;30948;32218;29253;25739;24626;28061;26735;33745;31661;31135;28794;29833;31998;31121;29644;30215;28874;32623;30627;35019;32086;31381;29121;28403;32536;32248;29740;29536;27917;29938;28997;33829;30013;29668;27611;28496;30702;29736;29264;28571;26052;27940;27827;30054;27213;22801;15190;14325;16629;15757;15624;14003;13576;15306;15223;16700;16897;15967;15301;14927;16250;16214;16137;15482;14352;15623;14454;15416;16287;16609;15089;14960;15787;16160;15884;14769;14367;15108;14436;17431;16171;16555;15099;14598;14631;14666;14742;13721;12919;13453;13989;15063;13929;13624;13163;12085;13525;13121;12477;12466;12474;12962;11625;13886;12197;13525;12498;12263;12658;11476;12060;11185;10622;11821;10251;11881;11205;11435;10341;10407;10979;10683;11115;10564;10162;10887;10142;10654;11257;11422;10528;10890;11092;10911;11096;10313;9903;10372;9956;9833;7922;8733;9048;9169;9685;9958;10584;10225;9607;9803;9422;10124;9943;10238;10123;9987;8886;5623;3027656
"53 Distrito Federal";4;12;1;-;1;1;9;47;281;1918;4752;9370;14525;14212;16576;16585;15974;15376;15099;15648;16040;15609;15052;14155;14664;14030;17386;16146;16175;15313;15674;15833;15794;14766;14992;14371;15434;14567;17306;16292;16707;14863;15301;16281;15900;15454;14697;14093;15321;15093;16675;16468;16519;15285;15199;16510;15794;15388;15212;14312;15338;14371;13712;10205;6011;1208;1722;1742;1156;1270;1017;927;1154;1058;1013;1072;1052;1081;1184;1134;1228;1258;1152;943;1203;1104;1096;1106;1182;1180;1125;1110;1167;1103;1127;969;1101;866;1292;1186;1194;1264;1181;1169;1081;1116;1120;881;1062;1114;1269;1064;1213;1192;992;1174;1006;1125;1048;938;1252;1080;1332;1156;1238;1144;1204;1368;1233;1504;2616;2309;2080;2714;3027;3114;3526;3282;3328;3389;3316;3328;3010;2826;3309;3092;3146;3451;3534;3245;3727;3588;3420;3486;3103;2997;3300;2732;2816;2271;2405;2548;2894;4237;4463;4990;4819;4521;4757;4518;5239;4921;4956;4728;4943;4637;3321;1061680
"Total";61;63;4;6;17;36;384;6329;15959;53980;133204;392919;895814;834137;942732;964454;943517;914995;935226;919236;928812;917898;843621;808110;869237;816691;1006435;938785;962647;924247;960327;962202;945613;939430;917539;866580;921105;867333;1041253;963535;998540;925634;943390;989806;950932;934723;923251;887638;946148;909894;1002185;951302;991712;929077;925214;975872;921162;928815;913203;872221;918367;869961;964029;847126;749852;503461;515409;522267;482051;508927;463365;432571;475594;432372;490552;512998;503829;484474;498559;491899;483996;502301;465538;440215;481039;458444;485895;492085;514601;478821;501454;496669;501011;506198;469011;442092;459255;424908;525334;489763;500579;481604;486804;480882;471315;471792;454037;425315;443230;436640;494014;468323;478104;464853;454808;471055;446675;446034;426263;409730;434699;401103;483529;435995;488191;456266;460844;478679;444873;464094;448292;423674;454006;404577;474272;473667;475727;455145;472821;478285;445018;479548;452118;427609;466771;439414;466469;487066;507989;465537;493947;482910;474269;493037;458268;435540;466284;436143;426879;322777;345913;356878;379384;385942;401254;423608;418562;396677;405911;389467;426022;399763;434225;410284;385408;343261;201728;100414161
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
