 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 201-1 Empresa Pública, 203-8 Sociedade de Economia Mista, 204-6 Sociedade Anônima Aberta, 205-4 Sociedade Anônima Fechada, 206-2 Sociedade Empresária Limitada, 207-0 Sociedade Empresária em Nome Coletivo, 208-9 Sociedade Empresária em Comandita Simples, 209-7 Sociedade Empresária em Comandita por Ações, 212-7 Sociedade em Conta de Participação, 213-5 Empresário (Individual), 214-3 Cooperativa, 215-1 Consórcio de Sociedades, 216-0 Grupo de Sociedades, 217-8 Estabelecimento, no Brasil, de Sociedade Estrangeira, 219-4 Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira, 221-6 Empresa Domiciliada no Exterior, 222-4 Clube/Fundo de Investimento, 223-2 Sociedade Simples Pura, 224-0 Sociedade Simples Limitada, 225-9 Sociedade Simples em Nome Coletivo, 226-7 Sociedade Simples em Comandita Simples, 227-5 Empresa Binacional, 228-3 Consórcio de Empregadores, 229-1 Consórcio Simples, 230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária), 231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples), 232-1 Sociedade Unipessoal de Advogados, 233-0 Cooperativas de Consumo
Período:Jan/2008-Set/2021
"Unidade da Federação";"2011/Jun";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"26 Pernambuco";-;-;-;-;2;67;307;1500;3998;4928;5145;4657;4779;4606;4183;4478;3828;4127;3882;4269;4214;3904;3748;3751;3967;3418;3275;3194;2997;3261;3234;3329;3272;3288;3503;3309;3151;3215;2698;2498;2298;2662;2586;2525;2337;2223;2314;2167;1975;2041;2216;2186;2168;2235;2103;2041;2025;1959;2055;2079;2003;1797;1784;1749;1635;1883;1738;1942;1769;1884;1950;1713;1878;1881;1808;1883;1601;1883;1927;1968;1822;1378;983;970;1151;829;815;952;853;830;983;1086;889;985;1020;981;978;898;919;1028;835;931;717;800;881;1220;1719;1967;1852;1872;1727;1830;1658;1874;1924;2102;1964;1640;1310;247;252273
"27 Alagoas";-;-;-;4;8;136;455;1825;4412;4808;4337;3882;4096;3995;3562;4028;3429;4290;4467;4692;4462;4686;4230;4230;4297;3955;3272;3798;3360;3542;3794;4050;3631;3989;4082;4051;3853;3913;3430;3621;3120;4147;3744;3755;3465;3734;3531;3550;3883;3578;3192;3442;3345;4030;4028;4256;4174;4432;4365;4131;3954;3906;3764;3932;3495;4303;4017;4540;4423;4405;4417;3799;4205;4104;3827;3964;3529;4302;4263;4313;3956;4150;4112;3781;4219;3855;3249;3737;3461;3678;4125;4273;3583;4335;3971;3822;4071;3855;3303;3391;3209;3375;2753;2911;2882;3215;3173;3139;3635;3685;3477;3445;3273;3595;3520;3602;3075;3171;2883;2308;429289
"28 Sergipe";-;-;-;-;-;1;13;265;348;340;372;286;354;241;233;242;251;248;253;314;272;237;207;142;121;124;103;118;100;113;134;139;123;226;339;375;403;351;256;317;309;406;335;359;175;336;313;303;309;290;239;339;269;340;376;364;335;352;377;382;357;279;275;416;302;349;288;328;291;316;355;330;335;486;470;665;567;612;647;694;636;767;779;657;720;690;576;694;664;689;763;791;748;771;749;737;800;715;682;734;718;559;394;396;414;489;580;544;723;758;511;642;566;699;623;656;719;720;633;186;48723
"29 Bahia";-;-;-;4;8;225;543;2848;8287;9136;9474;8740;8374;7723;6822;6947;5933;6424;6569;6635;6683;7005;6953;6687;7028;6685;6404;6829;6520;6511;6777;7019;6297;7195;6900;7104;6985;6618;5824;6042;5421;6755;5846;6028;5516;5686;5478;5346;5376;5249;4999;4886;5165;5470;4719;4738;4392;4491;4861;4601;4296;3988;3774;3913;3423;4164;3491;4348;3816;3890;4154;3846;4164;3849;3782;4030;3359;3690;4041;4281;3721;4025;3799;3599;3961;3845;3587;3483;3031;2974;3191;3464;2796;3380;3138;3112;3247;2925;2442;2919;2958;2891;1764;1975;2164;2502;2517;3340;3694;3453;2379;2524;2466;2967;2743;3092;2547;2602;2273;1377;530947
"31 Minas Gerais";-;-;-;2;26;284;596;2612;5571;5949;5846;5270;5114;4723;4726;4675;4204;5018;5240;4907;4793;4993;4791;4731;4761;4416;4119;4506;4203;4439;4637;4489;3716;3824;4157;4204;4017;3860;3565;3659;3464;4770;4562;4647;4177;3446;3300;3990;4220;3524;3312;3419;3406;3827;3380;3467;3216;2973;2925;2773;2895;2732;2649;2585;2472;3311;2839;3265;3011;2915;2728;2850;3782;3810;3726;4166;3581;4133;4148;4154;3818;4005;4134;3812;4123;3699;3562;3741;3643;3996;4346;4316;4010;4480;3960;3974;4143;3756;3562;3787;3507;3482;2541;2955;3355;3386;3531;3591;3360;3314;3298;3039;2961;3524;3152;3158;2841;2106;1972;1147;428280
"32 Espírito Santo";-;-;-;-;-;-;16;144;320;322;370;305;378;384;719;835;611;573;633;512;442;473;495;476;512;424;423;413;403;433;393;460;415;417;426;445;449;381;387;419;354;361;296;279;276;339;327;276;274;226;223;250;232;281;284;271;285;266;305;254;271;255;227;246;217;292;254;293;278;258;296;294;347;287;260;346;251;265;315;273;236;266;204;169;177;149;156;165;174;168;183;183;137;180;143;175;196;204;177;295;706;1033;794;886;1167;1240;1192;1224;1335;1401;1464;1085;1139;1398;1503;1617;1340;1011;735;126;52125
"33 Rio de Janeiro";-;-;-;2;9;226;605;3143;7041;7490;7161;6176;6317;5256;4884;5964;4792;5807;5717;5525;5099;5653;3803;4905;4236;4632;4524;5387;4310;4282;4441;5013;4547;4601;4598;4549;3497;3344;3719;3952;3198;3952;3973;4389;3684;3705;3529;3544;3387;3269;2582;2852;2855;3573;3327;3355;3022;2848;2284;1776;1358;1229;1205;1469;1040;1135;1148;1281;1110;1362;1204;1463;1466;1672;1260;1505;1202;1598;1757;1831;1657;1547;1346;1103;1458;1491;1383;1765;1599;1621;1835;1696;1161;1166;877;1001;966;1822;1801;1708;1713;1983;1744;1673;1641;1840;1870;1845;2168;2178;1930;2209;1745;2107;1877;2025;1742;2063;1995;1331;324288
"35 São Paulo";-;-;-;1;-;-;4;291;533;618;607;439;494;386;308;338;330;311;333;309;329;319;334;280;283;288;288;277;310;216;235;240;286;204;190;130;94;101;108;110;97;111;135;91;86;91;105;93;99;112;50;30;30;43;80;69;87;89;93;101;114;118;124;199;167;184;193;195;206;202;699;189;219;253;207;200;216;258;310;495;356;292;286;248;291;323;290;287;309;322;372;400;387;406;354;401;424;705;393;381;395;373;312;341;404;503;510;525;479;452;383;354;403;511;457;544;606;579;301;184;32207
"41 Paraná";-;-;4;34;104;634;1468;6807;15069;15786;15763;14310;15449;14070;12926;13836;12989;14718;15236;14257;13914;14692;14430;13943;14658;12855;11743;12471;11796;12627;12975;13512;12428;13203;13053;13639;14250;12780;11980;11364;11174;13543;12916;12777;12847;12909;12864;12591;12640;12680;11654;11827;11878;13817;13241;14138;14065;13962;14565;14017;14074;13448;12744;12993;12394;15013;13564;14889;13923;14628;15244;14283;14936;14045;13085;13649;12806;14702;14434;14423;14211;14606;14110;13156;14865;13865;12559;13121;12623;13369;13293;13925;12346;13358;12862;12683;13222;12915;11948;12155;11824;11360;8445;8456;8062;7577;7699;8016;9428;9346;7511;8228;8299;8170;7798;8496;7663;7593;8784;6343;1419445
"42 Santa Catarina";-;-;-;1;-;16;59;382;909;942;852;804;853;853;693;718;641;760;786;852;754;874;787;722;854;838;740;816;784;829;855;964;781;1041;1029;1020;1087;925;807;873;826;1055;907;1012;975;1041;1026;977;1043;999;945;927;919;1029;988;1127;1185;1022;1144;1010;1025;1110;934;1006;960;1081;894;1187;1141;1134;1241;1029;995;957;932;908;686;746;767;682;718;875;670;652;689;637;615;629;615;574;605;689;648;722;707;654;747;667;495;442;377;405;262;222;162;194;232;520;1140;1116;1004;1048;1009;1060;1067;1064;1013;1068;1010;596;94692
"43 Rio Grande do Sul";-;2;6;68;463;2963;4402;7561;8565;9075;8919;7962;8495;7655;6923;8315;7082;7954;8037;8045;7854;8384;8049;7739;8335;7833;7367;8250;7346;7821;7600;8236;7698;8153;7822;7956;7674;7399;7548;7714;6888;8191;7697;7813;7867;8263;8081;7632;7834;7939;7765;7769;7182;8308;7742;8309;8355;8354;8406;7604;7591;7012;7414;7777;6526;8116;7073;7793;7791;7818;8081;7309;7604;7254;7495;7895;6492;7610;7193;7609;7636;7806;8026;7168;7774;7481;7255;7912;6927;7729;8402;9069;8562;9069;9312;8902;9109;7925;8011;8715;7648;7360;5396;6404;6702;6521;6842;7216;7662;7470;7181;7425;6796;6695;6952;7738;7815;8090;6877;3040;877342
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;69;221;146;225;211;191;191;208;216;190;227;226;243;215;267;250;225;249;242;255;260;241;253;232;299;281;244;252;256;259;284;299;227;236;310;285;259;283;270;263;272;274;265;241;289;281;207;257;356;652;937;972;975;974;1010;960;1133;1031;1102;1032;1193;1114;1107;1151;1052;1041;979;1037;1071;988;1127;1151;1150;1029;1105;1023;978;983;963;974;1027;981;1067;981;1029;944;1004;1125;1163;1416;1850;1854;1769;1747;1728;1475;1596;1407;1475;1418;1478;1470;1454;1627;1592;1479;1754;1393;1458;1321;1089;313;61;87541
"51 Mato Grosso";-;-;-;1;2;42;178;721;1486;1765;1799;1709;1774;1456;1431;1501;1392;1676;1581;1381;1159;1331;1452;1351;1340;1327;1181;1148;1340;1444;1285;1283;1383;1246;1350;1443;1481;1237;1153;1236;1213;1415;1446;1414;1330;1315;1215;1225;1319;1227;1168;1106;1193;1217;1219;1223;1165;1162;1222;1137;1091;1091;943;1083;1087;1180;1194;1176;1170;1197;1111;1166;1157;1075;1107;1190;1089;1285;1326;1145;1016;1066;1085;1022;1088;1024;984;1102;1017;1146;1175;1247;1004;1102;1064;973;1028;966;947;1019;958;1105;819;926;852;869;860;969;1105;1006;983;913;1079;1316;1362;1520;1548;1475;1430;789;136818
"52 Goiás";1;-;-;10;19;113;471;2857;8652;8430;9989;9613;9634;8477;7880;9303;9548;10196;10231;9378;8901;8546;9464;9650;9555;9208;8534;9005;8167;8879;9502;9641;8555;8420;9120;9293;8945;8432;8172;8642;8440;10111;9256;9418;8470;8017;8107;7930;8044;7377;7172;7436;7946;8185;7552;7245;7016;6401;7392;7075;6307;6129;6562;6755;6408;7466;6360;7334;6793;6377;6585;6080;6243;5844;5222;5646;4902;5535;5177;5414;4725;4710;5226;5085;5285;4893;4637;5076;4668;4799;5180;5313;4977;4931;5088;5008;5122;4623;4401;4482;4292;4343;3436;4084;4375;4500;4677;4804;4912;4710;4415;4381;4363;5077;4928;5091;5183;4932;4086;2770;762750
"53 Distrito Federal";-;-;-;-;-;-;3;13;128;119;75;50;73;89;84;70;53;53;47;39;70;59;45;48;69;63;51;70;60;46;30;46;49;39;15;6;18;30;28;46;27;53;19;29;24;36;21;26;27;31;26;15;57;185;335;480;278;92;30;-;-;28;32;34;41;43;35;34;40;58;74;58;64;58;64;58;47;67;61;65;74;88;93;64;67;70;68;76;72;72;80;80;88;87;86;83;7;42;39;78;81;35;22;55;69;74;93;95;120;78;99;176;178;154;202;147;150;178;110;87;8153
"Total";1;2;10;138;711;5538;12080;43439;91706;96437;98696;90208;93107;86623;79252;88324;79309;88614;90226;87001;82930;85028;83051;83290;84920;79773;74760;80021;73711;78267;78979;82031;74253;78472;77935;79516;77342;73034;68269;69018;64184;79424;74593;74728;70475;70026;69213;68383;68578;65965;62197;63923;64264;72155;67728;69891;67388;66114;68723;64448;62819;60704;57985;60952;55495;66034;57933;64877;61618;61855;64686;60183;64217;61450;57979;62000;55036;63721;63325;64131;60233;61315;60907;56461;62516;57849;53728;58481;54514;58107;60959;63676;57019;61368;60746;59432;62266;59545;55656;59114;56268;56101;41556;44981;46567;48993;50651;53210;57784;56680;51491;51802;50090;54674;52841;56750;53374;50437;45280;26643;7485487
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
