 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Regime: Público
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"24 Rio Grande do Norte";-;1;-;-;-;1;3;133;231;711;1667;3933;6826;6854;7877;8855;8738;7785;7506;7301;7320;6939;6620;6289;6481;6212;7370;7662;8841;8123;8551;8449;8632;8801;8357;7719;7937;7601;9310;8898;9277;8358;8552;8647;8306;8223;8159;7757;8045;8490;9358;8853;8944;8441;8593;8703;8020;8102;7928;7568;7588;7695;9019;8118;8387;8260;8591;8185;7420;7479;6969;6441;7093;6971;8734;9020;9231;8646;8564;7945;8131;8348;7650;7396;7733;7555;8393;8706;9016;8356;8461;8954;8962;8448;8168;8120;7925;7415;8977;9266;9206;8919;8988;7247;5551;3425;762530
"25 Paraíba";2;-;-;-;-;-;2;45;100;438;1069;3649;10095;9871;11438;11758;11705;10344;10595;10534;10426;9569;8942;8918;9726;9570;12471;11894;12599;11030;11800;11882;12041;11825;11634;10986;11224;10502;12374;11850;12854;11376;12443;12329;11883;11750;10898;9957;10994;11239;12590;10806;10638;10483;10422;11096;10324;10429;10349;9861;10105;9869;11175;10611;10929;9684;10131;10231;9661;9716;9223;8520;9686;9355;11037;11389;11973;11206;11314;11225;10808;11002;10272;9817;10526;10090;11106;11184;11798;10866;11530;11431;11673;11528;10772;10083;9939;8825;11052;11031;11048;10411;10700;10246;8511;5876;1014794
"26 Pernambuco";4;6;-;1;-;1;14;215;571;2090;4955;14442;21376;21475;23799;26123;26122;23734;24314;23834;22641;23071;21381;20070;21605;20332;26111;25058;25944;23646;24027;24828;24534;24821;23917;22927;23736;22425;27100;25941;28504;25862;26525;27414;26697;26447;26243;25673;25937;25470;29567;28113;28982;27095;26897;28112;26640;27429;27019;26847;26038;25875;29809;28721;30311;27964;28674;29700;28103;27887;26386;25324;27856;25178;28575;29326;30949;28627;28797;29678;29260;29899;28049;26877;27993;26310;29201;29814;30786;28889;30670;30793;30459;30535;28708;28321;28512;26568;31817;30622;31896;29925;30561;29222;23706;14387;2536222
"27 Alagoas";-;-;-;-;-;-;1;36;45;103;465;1953;4989;4713;5397;6332;5954;5328;5022;5180;4720;4633;4402;4526;5087;4746;5802;5759;5845;5347;5558;5182;5076;5176;4971;4513;4876;4531;5447;5311;5586;4511;5146;5007;4929;4783;4694;4255;4590;4402;5178;4888;5591;5274;5137;5325;5060;5107;4707;4451;4513;4826;5348;5223;5477;5051;5193;4921;4828;4429;4467;4415;4657;4052;4933;5092;5435;5145;5143;4904;4795;4743;4466;4398;4420;4030;4279;4143;4618;4357;4459;4385;4433;4495;4127;4017;3739;3546;4458;4681;5023;4862;4887;4797;4241;2310;456408
"28 Sergipe";-;-;-;-;-;-;2;3;17;50;233;1150;2494;2460;2540;2582;2492;2333;2214;2176;2011;2010;1715;1888;2163;2279;2837;2596;2817;2261;2368;2422;2273;2336;2002;1954;2232;2032;2748;2910;3079;2613;2747;2554;2420;2523;2497;2482;2570;2239;2363;2437;2559;2274;2431;2638;2597;2638;2566;2501;2627;2440;1690;1350;1034;491;505;504;599;647;614;551;685;701;917;900;766;726;563;410;188;140;158;98;161;216;283;673;1593;1485;1754;2404;2641;2317;2095;2014;2216;2520;2869;2756;3455;3000;3139;2886;1952;1437;180498
"29 Bahia";2;6;-;-;-;1;4;28;198;595;1996;9291;30286;28717;35456;37755;36487;34404;37215;37051;36540;34191;30403;28715;32688;30918;38785;37976;38458;35762;37835;38853;38202;37716;37443;35643;38067;35928;42579;41416;43654;37725;39191;40805;39874;40319;39697;37967;41040;38130;43472;42036;42742;40625;40760;43339;40733;41824;41056;40309;41357;38745;44771;42025;44087;41475;42542;41812;39473;38718;36182;33439;37857;35560;41084;40877;41710;39844;41978;41215;40506;41772;38354;36244;39047;36282;40547;40289;42395;39185;42364;42710;42714;43037;38779;37634;39345;35978;44110;41397;42932;40635;42739;39215;34709;22428;3663006
"31 Minas Gerais";2;2;-;-;1;2;17;124;774;3511;7500;15580;25765;24054;26828;27777;27228;26544;27203;26904;26490;27103;24798;23966;25207;23382;27971;26119;26956;25791;26488;26818;26459;26002;25242;24320;25783;24414;29007;26123;27116;26106;27316;28078;27483;27069;26552;26674;27652;26511;28968;28006;29232;26400;26059;27154;26395;26427;25970;25880;28402;26999;30158;28945;31065;27863;28592;28072;27868;28384;26080;25293;27101;24614;28720;30133;29896;28468;28768;29341;28228;28371;26192;25693;27796;26211;27945;28773;29259;27478;28773;28666;28715;28659;26763;26274;26061;24671;30003;28618;29195;27795;28136;23703;19514;10968;2556525
"32 Espírito Santo";1;-;-;-;-;-;3;17;113;741;1588;3596;4851;4668;5243;5231;5031;5151;4639;4958;5084;5164;5012;4825;5035;4795;5989;5648;5888;5473;5684;5767;5641;5334;5561;5341;5157;4990;6480;6185;6431;5808;6219;6767;6134;6371;6244;6147;6245;6240;6699;6583;7009;6815;6650;6820;6453;6511;6667;6442;6654;6148;7116;6230;6596;6401;6575;6600;6621;6842;6569;6489;6609;6297;7449;7289;7255;6698;7337;7496;7362;8106;7270;7060;7902;7386;7669;7763;8063;7529;7913;8202;8109;7833;7636;7763;8068;7526;9342;8456;9009;9006;9344;8493;5554;2029;619803
"33 Rio de Janeiro";5;3;1;-;3;3;19;198;469;1862;4282;9583;24416;23120;28866;30677;29524;27565;27391;27441;27529;27325;24860;24717;27026;25537;31657;29283;30474;30530;31228;30721;30097;29224;28988;27590;30405;27994;34447;32272;33869;31328;32297;33111;30675;30549;30373;30073;33695;32480;35017;35180;36524;34204;32824;34034;31188;30433;29040;28775;32798;30735;36702;34209;37641;33690;32510;32782;31846;33926;30229;30343;35550;31322;36127;37449;38295;37360;37183;38205;36731;36934;33558;31826;37117;33168;36155;35769;38309;37280;40316;41230;40994;40672;38209;38253;41184;37612;44458;41637;44707;43226;43019;38725;32860;18976;3134828
"35 São Paulo";4;1;1;-;3;2;17;136;1848;4891;10591;31119;73390;72558;81192;81782;82684;82358;85714;85491;84831;85636;77765;74583;76989;75993;94212;89768;92105;90224;92260;94459;92212;91635;87590;83131;89482;87153;107709;98606;101626;94609;93937;99680;94728;95847;94651;91115;96506;94074;105007;97798;102180;95625;96894;101778;94861;95861;92048;87846;94097;91588;105926;98178;105471;96919;100709;104241;97112;103235;92488;88798;97927;89759;103283;106284;101809;98610;100240;103887;101311;103693;95743;91983;101297;97533;105311;106577;109928;102776;105257;106945;107020;108075;100476;97060;104097;96723;115182;107837;110404;106112;104720;102750;91000;56127;9003294
"41 Paraná";-;-;-;-;1;3;9;50;202;865;1919;5931;11935;11965;13797;13473;13567;13142;13631;12692;13081;13130;11769;11406;12341;12004;14172;12877;13542;12923;14141;13952;13629;13720;13324;12410;13532;13319;16264;15024;15648;15274;15007;15324;15243;14954;14903;14341;15488;14607;15760;14593;15582;14380;14387;14800;13904;14708;14460;13769;14300;14377;17218;16598;17770;16219;16740;17397;15642;16994;15400;13950;15859;14673;16806;17675;16913;16345;17231;18084;17079;17667;16629;15330;16778;16253;16812;16795;18090;17023;17986;17726;17574;18028;16872;15973;16751;15388;18454;17606;17737;17345;17509;16700;14577;7907;1435654
"42 Santa Catarina";-;-;-;-;-;-;2;33;104;476;1731;4658;8440;7891;8598;8542;8849;9001;9197;8485;8880;8653;7711;7663;8114;7519;8963;8100;8588;8555;8946;8894;8459;8772;7817;7673;8116;7719;9060;8388;8702;8138;8574;8268;8145;8186;7856;7666;8352;8310;8721;8408;8854;8235;8641;8737;8009;8690;8543;8274;9084;8038;9098;9053;9893;9227;9947;9564;8773;8920;7374;6873;9113;8225;9290;9771;9635;9858;10435;10841;10554;11242;10399;9840;11090;10352;11099;11084;11592;11023;12174;11965;11979;11967;11251;10460;11392;10432;12100;11751;12458;12321;12506;11778;9554;5206;880487
"43 Rio Grande do Sul";-;-;-;-;-;-;8;99;349;895;2146;8069;15011;14407;15553;15054;15075;15835;16720;15812;15766;16284;15339;14752;15490;13569;16762;15454;16253;16047;17296;16213;16192;16739;15954;15445;15873;14031;16594;15476;16420;16015;16332;16330;14957;15203;14488;14215;13819;12566;15196;14378;15460;15070;15311;14957;14508;15192;14681;14600;15046;13881;15437;14593;16192;15170;16213;16348;14761;15567;14330;13247;15318;13358;15156;15396;15257;14873;16132;15646;14709;15940;14963;14262;15625;13973;15338;15090;16002;15259;16090;15272;15477;15215;14521;14643;15073;13603;16386;15520;15707;15360;15665;14934;11931;5411;1434150
"50 Mato Grosso do Sul";-;-;-;-;-;-;3;68;208;436;1127;2410;4134;4164;4452;4156;4625;4831;4862;4585;4826;4864;4408;3943;4274;4113;4510;4245;4509;4571;4383;4673;4353;4057;4096;3964;4311;4288;5270;4533;4510;4417;4455;4933;4815;4359;4145;3824;4465;4372;4906;4830;4923;4554;4551;4513;4274;4172;4200;3927;4153;4427;4848;4488;5437;5126;5050;5245;4818;4831;4408;4137;5002;4800;5523;5623;5562;5281;5211;4903;4974;5105;4737;4477;4816;4472;4856;4923;5199;4851;4850;4997;5053;5252;5079;4948;5048;4807;6040;5645;5730;5269;4770;3984;2913;1284;440349
"51 Mato Grosso";2;2;-;-;-;1;2;32;171;552;1018;3331;5995;5984;7105;7223;6930;6820;6919;6669;6715;6322;5766;5435;6149;5739;7309;7191;7568;7134;7289;7509;7205;6691;6996;6615;7102;6597;7936;7149;7261;6578;6819;6994;7042;6902;6630;6562;6999;6189;6789;6709;6925;6674;6339;6832;6729;6450;6363;6230;6094;5608;6764;6719;6870;6421;6707;6975;6201;6547;5850;5974;6564;5826;6916;7372;7122;6819;6952;7019;6671;6887;6732;6337;6726;6531;7158;7154;7260;6867;6964;7223;7162;7254;6475;6111;6269;6091;7533;7466;7787;7663;8166;8483;7279;5028;641786
"52 Goiás";1;3;-;-;-;3;3;184;459;1003;2183;6607;12281;11782;14094;14471;12645;12758;11965;12725;13285;11472;9952;9226;11536;11371;14593;13384;13132;12157;12694;13197;12957;12325;12485;12288;14279;13506;15452;14187;13404;12108;11691;13721;13573;12841;12636;11948;13338;13067;14852;13127;12934;12124;12782;13633;13202;13194;12768;11850;12387;12375;13740;13196;13302;12742;11982;12378;12252;12172;10487;9891;12722;12046;14402;14736;14236;13185;12961;13416;13351;13738;13008;12579;13228;12895;14179;14840;14655;13510;13347;13956;14562;14253;13072;13204;13690;13085;15111;15204;15197;14307;14115;13828;12418;7763;1233141
"53 Distrito Federal";4;12;-;-;1;1;9;44;281;1905;4699;9143;13672;13381;15745;15724;15036;14444;14242;14718;15139;14581;14071;13301;13666;13143;16396;15271;15183;14388;14705;14819;14875;13754;14106;13687;14518;13683;16272;15422;15728;13892;14386;15219;14922;14494;13706;13349;14364;14241;15805;15569;15504;14383;14285;15496;14896;14455;14287;13578;14432;13906;15415;14976;15594;14566;14258;14744;14452;15386;13388;13837;14638;13496;15570;16166;15431;14498;14850;14904;14335;14646;12799;12954;13528;13449;14889;14878;15026;13683;14272;13839;13736;13749;12811;12127;12277;11711;14181;14648;14304;12955;12248;9560;7157;4239;1345108
"Total";42;52;2;3;14;25;169;2385;8394;27965;68408;185704;380252;370140;417896;428563;422990;410332;415869;413762;411421;404083;372151;357273;389993;371484;458286;433796;445412;426039;438890;444549;437837;435942;425454;406303;436191;410819;491527;460312;478657;442880;448944;466923;452085;450167;441614;428781;459347;441563;489668;465550;477110;449237;447078;470119;446270;452120;443911;427197;449065;430561;491896;465959;493918;454762;460123;467088;445330;455069;417467;398597;457603;419038;483129;495645;493258;469796;479152;485713;474891;486933;453053;434961;473254;445320;484700;486979;504644;474215;494531;500298;500853;499614;468438;453840;473537;441070;527567;506828;519857;497267;498311;466223;395165;239947;42505415
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
